站點唯一 ID,站點 ID,站名,站點地址,經度,緯度
THB303522,303522,捷運忠孝敦化站,臺北市忠孝東路四段164號,121.550241,25.041577
THB303523,303523,捷運忠孝敦化站,臺北市忠孝東路四段163號,121.5503038,25.04137749
THB303524,303524,捷運忠孝復興站,臺北市忠孝東路3段267號,121.542599,25.041772
THB303525,303525,懷生國中,臺北市忠孝東路三段234號,121.541075,25.041537
THB303526,303526,中正路正濱路口,基隆市中正區中正路591號,121.770633,25.151762
THB303527,303527,中正路正濱路口,基隆市中正區中正路782號,121.77073,25.15162
THB303528,303528,二信分社,基隆市中正區中正路431號,121.7669,25.15112
THB303529,303529,二信分社,基隆市中正區中正路644號,121.76712,25.15111
THB303530,303530,中濱里,基隆市中正區中正路520號,121.76376,25.1493
THB303531,303531,公教住宅,基隆市中正區中正路289號,121.76151,25.14552
THB303532,303532,公教住宅,基隆市中正區中正路398號,121.76162,25.14516
THB303533,303533,正榮街口,基隆市中正區中正路782號,121.7611,25.14304
